Date,Code: Graded Index,Peak Current,SS Current,Peak - SS +40,Branch Vector,Branch Number,Cell Letter,SGN Type,Spike Type,Spike type II,Spike Present,Classification,Age,Parent Branch Diameter,CDR w/ Type II,CDR (Type I only),Iext CCstep,CC_step Cp,CC_step Slow Tau,CC_Step A0,Cp - Fitting Area - w/Fast Cp,Fitting Area - pClamp Value,Fast - Cp Area,A1-VC Double Exp,A2-VC Double Exp,t1-VC Double Exp,t2- VC Double Exp,C-VC Double Exp,Cp Soma - VC Double Exp,Cp Compartment - VC Double Exp,Soma Cp Calc,Compartmant Cp Calc,Integral Cvc,R1,R2,A - VC Single Exp,Ao - VC Single Exp,t - VC Single Exp,C - VC Single Exp,VC Integral - Single Exp,Dialed in Cm,CC Cm,CC Cp/ VC_Cp,Rs (calc est),Code: Lat at Thresh,Response Latency (sub),SubThreshold Latency,AHP Time Constant,Code: Cthres,Code: Vthres,Code: Vm,Code: AP Height,Code: Rin,ss-30NC,ssmax_NC,g-30NC,gmax_NC,Vmid - NC,g30/gmax_NC,Escape Current Magnitude,Escape Current Delay,Cp -- CC with 10dV,dV in CC - -10pA,Initial Inject Current,First Hyperpol Step Current,H- Time Constant,H-Na Current,Rs(est),Slopes,g -30,IP,Vmid 2,Gmax,Type II Contact Number,Type II Rows,Outward Inactivation Tau,Graded Slope,Graded Index,H-Cp (pF),H-CThreshold,Voltage Threshold,H-Vrest,H-AP Hight,AP Latency (ms),Double Exp for Inactivation Outward Current,Downstroke Tau,IH Nose Present,Time to -40mV,Sigmodial?,Anode Spike Present,Age Group,Confidence,C-thres Spike Only,Current for -40mV,Vmid,AHP Decay Tau,H-Outward Current,H-Rin,H-Cp,-80: C Threshold,-80: Latency,WC(Rs),Rin (MOhms),dV at +10pA Step,Rin @ +10pA,Calc Cp @ +10 step,Time Constant - CC +10pA,Outward Current Density,R(pipette),Inward Current Density,Pred Formula H-Contact Distance,AHP Delta V,Onset to Trough Time,Trough to SS Time,MATLAB CDRPRed,Predict MP Code,Canon[1],Column 75,Age Bins,g30/gmax, soma + comp cp,A1/A2,t1/t2,Ao/10pA,Relative A2,Latency/g30,dInj Current,Max/Escapse Current Mag,Column 127,Column 128
08/04/2011,2.301025442,,,,,5,,,Intermediate,,Spike,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,18.05,30,-35.79711994,-55.17578248,42.57202244,0.434875498,353.3935547,2777.709961,6.172813182,20.25309019,-8.613364259,0.30478377,,,,,,,,,,28.99169938,3.415339446,,-8.889490071,18.55523787,,,150.71,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,P1-P5,0.184063361,,,,,,2.527210777,,,P1-P5,
08/04/2011,0.424194345,,,,,4,,,Graded,,No Spike,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,,,,70,-26.58081114,-29.35791081,24.71923883,0.436401377,122.0703125,1563.720703,2.132232533,11.40154187,2.103544169,0.187012648,,,,,,,,,,7.745428476,0.949108329,,,10.70157356,,,134.45,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,P1-P5,0.08868867,,,,,,8.582553599,,,P1-P5,
08/05/2011,0.454711924,,,,,,,,Transient,,Spike,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,5.2,110,-35.15625079,-44.89135843,30.42602607,0.22074382,459.5947266,2567.749023,8.027855486,18.72220401,-26.75943431,0.42878795,,,,,,,,,,23.00470534,5.235025953,,-17.27884101,19.05301503,,,135.33,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P1-P5,0.274761026,,,,,,1.170922922,,,P1-P5,
08/16/2011,1.980590865,,,,,12,,,Intermediate,,Spike,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,31.5,30,-31.49414133,-52.03247187,39.91699308,0.585937513,300.2929688,1882.324219,5.245292031,13.72457265,-13.95640916,0.38218254,,,,,,,,,,20.76134333,2.505086651,,-13.83371443,13.50997031,,,68.66,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,P1-P5,0.18542503,,,,,,4.06078439,,,P1-P5,
08/17/2011,0.613403334,,,,,7,,,Graded,,No Spike,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,50,,-46.20361431,30.15136786,0.889078796,130.6152344,950.9277344,2.28148881,6.933490336,-10.29677083,0.329053435,,,,,,,,,,6.417441257,1.231137908,,-14.88308727,6.200087739,,,94.28,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,P1-P5,0.19856782,,,,,,10.08113645,,,P1-P5,
08/17/2011,2.185058643,,,,,6,,,Transient,,Spike,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,24.9,30,-20.62988327,-50.14038198,41.01562592,0.502522798,169.6777344,1228.027344,2.963803221,8.953904079,-11.22399554,0.331006809,,,,,,,,,,10.43701187,1.251763733,,-14.60561255,8.31053666,,,83.1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P1-P5,0.150623694,,,,,,9.953427337,,,P1-P5,
08/17/2011,4.653930768,,,,,,,,Transient,,Spike,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,17.43,30,-39.48974698,-58.99047983,62.89672992,1.126098658,378.4179688,2473.144531,6.609920852,18.03241517,-8.356259861,0.366557712,,,,,,,,,,20.30029306,4.223526227,,0.11745907,17.90886475,,,312.77,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P1-P5,0.235834392,,,,,,2.375217548,,,P1-P5,
08/19/2011,2.941894597,,,,,,,,Transient,,Spike,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,15.2,40,-35.46142657,-56.79321416,49.65210072,0.656127944,338.1347656,3277.587891,5.906284116,23.89784538,-4.062403342,0.247147139,,,,,,,,,,29.96826196,3.006381377,,5.827562007,23.93516571,,,143.16,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.125605204,,,,,,3.013739206,,,P6-P10,
08/23/2011,1.232910184,,,,,,,,Transient,,Spike,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,7.41,140,-50.78125114,-55.81665164,36.89575278,0.194295252,554.1992188,2633.666992,9.680335699,19.20283106,-47.09437194,0.504109819,,,,,,,,,,20.56884777,6.751767528,,-40.42957018,17.87290283,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.377765581,,,,,,0.77476652,,,P6-P10,
08/23/2011,0.668334976,,,,,,,,Transient,,Spike,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,7.86,120,-46.29516705,-52.45971797,33.44726637,0.194295252,593.8720703,3533.935547,10.37331127,25.76695061,-33.14614536,0.402582029,,,,,,,,,,24.71923847,6.802239262,,-28.56355861,24.47019664,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P1-P5,0.277980572,,,,,,0.742289497,,,P1-P5,
