"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.514045351799845,0.120990192037537,4.24865307793184,0.000612912769828245
"AP.Latency.threshold",-0.0269097489301543,0.00752731105182803,-3.57494844372337,0.00252961048073915
