"feature"	"lm_pval"	"eta_squared"	"within_cluster_var"
"1"	"Peak.Current"	0.00946126618493057	0.233846575898939	0.000285399388087388
"2"	"SS.Current"	0.00314415542293813	0.245335467795817	0.000277998644460748
"3"	"ss.30"	0.000231659398667611	0.247638370777983	0.000270910599840875
"4"	"ss.max"	0.00508636456959423	0.219689797091278	0.000242288629833693
"5"	"g.30"	0.000231559600674801	0.247642495170389	0.000270901105338154
"6"	"gmax"	0.00378523552626594	0.222214114113004	0.000239351507104735
"7"	"Vmid"	0.543392834248769	0.190772610458346	0.000308796184486077
"8"	"g30.gmax"	0.310281623624557	0.189351798434283	0.000247258648656617
"9"	"Outward.inactivation.tau"	0.0435342009801333	0.219447905680222	0.000327637129960238
