"Graded.Index"	"Peak.Current"	"SS.Current"	"Branch.Number"	"SGN.Type"	"Spike.Type"	"MP.Classification"	"Age"	"CDR"	"AP.Latency.threshold"	"AHP.tau"	"Current.Threshold"	"Voltage.Threshold"	"Vm"	"AP.Height"	"Rin"	"ss.30"	"ss.max"	"g.30"	"gmax"	"Vmid"	"g30.gmax"	"Outward.inactivation.tau"	"AP.Latency"
"27"	2.268066457	NA	NA	3	""	"Transient"	""	6	NA	13.4	11.57	40	-57.64770637	-61.12060683	42.32788181	0.60597739	607.2998047	3950.805664	10.60785685	28.80647172	-15.54113823	0.368245613	207.26	NA
"28"	2.651977598	NA	NA	4	""	"Transient"	""	6	NA	19.4	12.18	40	-30.51757881	-56.51855595	43.84155371	0.502726248	469.3603516	5461.425781	8.198434088	39.8208418	7.492619979	0.205882993	263.62	NA
"29"	3.524170001	NA	NA	5	""	"Slow"	""	7	NA	15.1	11.62	30	-43.86596778	-61.54174942	44.60449318	0.310465502	920.4101563	5956.420898	16.0770333	43.42999498	-11.33396975	0.370182711	263.24	NA
"30"	2.727050842	NA	NA	6	""	"Transient"	""	7	NA	12.1	12.04	40	-37.37182701	-49.26757923	32.92846753	0.108642581	808.1054688	5131.225586	14.11537937	37.41325626	-29.9802464	0.377282835	152.83	NA
"31"	4.51746121	NA	NA	NA	"Type I"	"Transient"	"M"	6	NA	NA	9	40.48306142	-44.86084085	-70.83130041	64.05639792	0.796882276	341.796875	2485.961914	5.970251092	18.12587043	251.893438	0.329377346	NA	25
"32"	0.77677041	1201.2	1038.2	11	"Type I"	"Graded"	"P"	1	0	35.4	NA	20.20239641	-22.43	-38.20800867	18.64624065	0.845064951	211.1816406	2581.176758	3.688762281	18.82010952	20.70475895	0.196001106	132.5	19.7
"33"	0.792264894	1362	946	NA	"Type II"	"Graded"	"T"	1	NA	37.1	NA	20.21077378	NA	-55.60302859	32.80639722	1.620388601	169.0673828	1178.588867	2.953142058	8.593433784	-13.27852422	0.343650994	NA	20.9
"34"	0.366183154	NA	NA	NA	"Type II"	"Graded"	"T"	3	NA	NA	NA	100.8999646	-2.441406305	-9.735107639	29.38842839	0.282628209	62.86621094	1008.300781	1.098099754	7.351813884	-58.99319771	0.149364466	NA	NA
"35"	0.653166805	6480.1	5607.3	2	"Type I"	"Graded"	"M"	8	0.44	7.9	NA	130.9780881	-58.99047983	-63.81225729	30.60913154	0.285977791	1509.399414	6287.841797	26.36505527	45.84648103	-29.64430888	0.575072605	171.5	6.9
"36"	1.281165321	2412	2111	NA	"Type II"	"Graded"	"T"	5	NA	19.2	NA	40.40359604	-33.44726637	-58.7463392	40.00854582	0.782446121	442.5048828	3516.845703	7.729342931	25.64234359	-4.735383764	0.301428881	NA	17.9
"37"	0.658540099	NA	NA	NA	""	"Graded"	""	6	NA	23.4	10.03	20.15548311	-43.24	-58.41064584	20.56884812	0.788449139	167.2363281	1203.613281	2.921158569	8.775894056	-16.26095071	0.332861649	NA	10.7
"38"	0.54719707	6585.1	5783.1	2	"Type I"	"Graded"	"M"	10	0.52	8.8	NA	70.5482599	-53.16162228	-57.52563605	20.72143601	0.29047485	1043.09082	4955.444336	18.21992699	36.13158411	-24.30342426	0.504265933	289.94	8.4
"39"	1.03	1769.4	1639.4	3	"Type I"	"Transient"	"P"	10	-0.15	10.1	8.65	40.47300857	-48.86	-58.96	37.05	0.266922782	377.8076172	2080.078125	6.599259689	15.16645383	-19.94738724	0.43512213	NA	10.1
"40"	1.122614432	NA	NA	NA	""	"Transient"	""	2	NA	28.8	16.35	20.13154776	-32.19604564	-49.65210072	31.55517649	1.996919747	85.44921875	891.7236328	1.492562773	6.501816034	-35.31235395	0.229560905	69.57	28.3
"41"	0.664871629	NA	NA	NA	""	"Graded"	""	2	NA	26.6	NA	19.99176529	NA	-47.57690536	19.31762738	1.416327478	125.7324219	1428.833008	2.196199509	10.41803651	-11.65326364	0.210807431	NA	13
"42"	1.244753188	NA	NA	NA	""	"Transient"	""	9	NA	10.2	12.07	80.7102539	-63.29345845	-67.84057769	34.97314531	0.549024885	1324.462891	7341.308594	23.13472299	53.52761345	-14.14871283	0.432201653	325.97	NA
"43"	0.500311084	NA	NA	NA	""	"Transient"	""	9	NA	7.9	7.14	100.8152334	-53.07006955	-56.42700321	27.61840882	0.229853828	1324.462891	6211.547852	23.13472299	45.29019971	-17.9177261	0.510810797	246.85	NA
"44"	2.308508759	2733.4	2382.8	4	"Type I"	"Transient"	"P"	5	-0.27	25.3	19.72	20.12891487	-30.18188544	-49.01123156	31.37207101	0.483286687	230.1025391	3826.904297	4.019258325	27.90307086	4.485427276	0.144043584	183.85	24.2
"45"	2.204089883	4662.5	3581.5	2	"Type I"	"Transient"	"M"	6	0.07	17.1	9.65	50.40594123	-61.4929213	-62.86621234	47.0886241	0.461039595	639.0380859	4561.157227	11.16223731	33.25672226	-9.398936208	0.335638528	262.74	8.6
"46"	0.833178356	NA	NA	NA	"Type I"	"Intermediate"	"P"	2	NA	19.4	23.66	30.39191607	-31.12793038	-46.41723737	21.82006885	0.548688561	391.2353516	1746.21582	6.833805268	12.73216678	-19.39362487	0.53673545	109.04	17.9
"47"	0.446114129	NA	NA	1	"Type I"	"Graded"	"M"	9	0.31	8.6	NA	100.9315592	-61.52343888	-64.91089012	26.58081114	0.642164831	1179.80957	6095.581055	20.60802742	44.44465211	-15.15584526	0.46367845	117.34	10.8
"48"	1.388	NA	NA	NA	"Type I"	"Slow"	"M"	4	NA	15.7	25.2	20.07529967	-34.30175858	-44.67773537	41.87011812	0.15248496	354.0039063	2946.777344	6.183474346	21.48580959	-10.32917858	0.287793407	380.3	15
"49"	4.525115279	NA	NA	NA	"Type I"	"Intermediate"	"M"	4	NA	18	21.74	30.28133473	-41.56494234	-61.15722793	65.15503075	0.879985199	180.0537109	2987.060547	3.145042985	21.77952613	7.31113548	0.144403646	276.1	15.1
"50"	0.435010266	1695	1376	NA	"Type II"	"Graded"	"T"	1	NA	13.3	NA	141.12237	-17.70019571	-32.40966869	43.02978612	0.222318965	176.3916016	1572.875977	3.08107601	11.46829564	-17.44883464	0.268660323	95.81	10.4
