"feature"	"aov.p"	"aov.statistic"
"1"	"Peak.Current"	0.00033690861737223	15.9962163476404
"2"	"SS.Current"	8.52020538965335e-05	20.0489984134818
"3"	"ss.30"	4.94606882448553e-06	28.4932609954724
"4"	"ss.max"	0.000105315503875454	18.8523707517876
"5"	"g.30"	4.94606880727569e-06	28.4932610074143
"6"	"gmax"	0.000105315503613876	18.8523707589534
"7"	"Vmid"	0.058214277283138	3.82058586247828
"8"	"g30.gmax"	0.0946566190352053	2.94222277649916
"9"	"Outward.inactivation.tau"	0.00659577631235811	8.71984562502747
