"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.364146946956452,0.0936492457763782,3.88841302391251,0.00186664966708333
"AP.Latency.threshold",-0.0192067801323672,0.00454038782471852,-4.2302069501206,0.000982705531251848
