"diff"	"lwr"	"upr"	"p adj"	"pairwise"	"feature"
"1"	1171.77058823529	-264.90659033937	2608.44776680996	0.10463184880668	"Transient-Intermediate"	"Peak.Current"
"2"	1042.14901960784	-222.334144068014	2306.6321832837	0.101260940198976	"Transient-Intermediate"	"SS.Current"
"3"	119.961594484546	-230.377753583515	470.300942552607	0.692864531118386	"Slow-Intermediate"	"ss.30"
"4"	226.910216913036	47.5670912855361	406.253342540536	0.0093983757037891	"Transient-Intermediate"	"ss.30"
"5"	106.94862242849	-223.873419407731	437.770664264711	0.720882996916552	"Transient-Slow"	"ss.30"
"6"	608.333442796363	-1302.08353071192	2518.75041630465	0.727908026756866	"Slow-Intermediate"	"ss.max"
"7"	1249.51384890618	271.547333953813	2227.48036385854	0.00862697218218356	"Transient-Intermediate"	"ss.max"
"8"	641.180406109813	-1162.80777683275	2445.16858905238	0.673584936554483	"Transient-Slow"	"ss.max"
"9"	2.09579005909091	-4.02466244904468	8.21624256722649	0.692851811383578	"Slow-Intermediate"	"g.30"
"10"	3.96302405020412	0.829887309735948	7.09616079067228	0.00942131229588383	"Transient-Intermediate"	"g.30"
"11"	1.86723399111321	-3.91224983469353	7.64671781691995	0.72117577055351	"Transient-Slow"	"g.30"
"12"	4.65017971594545	-10.9203669377145	20.2207263696054	0.756134732337291	"Slow-Intermediate"	"gmax"
"13"	9.91545415441337	1.94469517459794	17.8862131342288	0.0108640250820705	"Transient-Intermediate"	"gmax"
"14"	5.26527443846793	-9.43784145438123	19.9683903313171	0.669591581774085	"Transient-Slow"	"gmax"
"15"	-1.08656208509999	-42.3046806168207	40.1315564466207	0.997805674037942	"Slow-Intermediate"	"Vmid"
"16"	0.914591564954174	-21.0254274338277	22.8546105637361	0.994522184763414	"Transient-Intermediate"	"Vmid"
"17"	2.00115365005417	-36.7380307869458	40.7403380870541	0.991601037858975	"Transient-Slow"	"Vmid"
"18"	0.0130732523545454	-0.13356487102884	0.159711375737931	0.975292718571777	"Slow-Intermediate"	"g30.gmax"
"19"	0.020391987067753	-0.0546739155456704	0.0954578896811763	0.793367889053456	"Transient-Intermediate"	"g30.gmax"
"20"	0.00731873471320754	-0.131150220190764	0.145787689617179	0.991243097882648	"Transient-Slow"	"g30.gmax"
"21"	126.021	2.97385082418275	249.068149175817	0.0435884230059912	"Slow-Intermediate"	"Outward.inactivation.tau"
"22"	38.447282051282	-27.9865535995105	104.881117702075	0.351014966043877	"Transient-Intermediate"	"Outward.inactivation.tau"
"23"	-87.573717948718	-202.373829352824	27.226393455388	0.16702422559433	"Transient-Slow"	"Outward.inactivation.tau"
