"diff"	"lwr"	"upr"	"p adj"	"pairwise"	"feature"
"1"	0.0143363734636357	-1.83844008797742	1.8671128349047	0.99981167188942	"Slow-Intermediate"	"Graded.Index"
"2"	-0.209919684027273	-1.15330728184795	0.733467913793403	0.856108955460957	"Transient-Intermediate"	"Graded.Index"
"3"	-0.224256057490909	-1.97107045736796	1.52255834238614	0.949516845130188	"Transient-Slow"	"Graded.Index"
"4"	-10.0032901482727	-40.2387798579541	20.2321995614088	0.710177211894116	"Slow-Intermediate"	"Current.Threshold"
"5"	25.5717355400487	10.2159013159448	40.9275697641526	0.000443556740835183	"Transient-Intermediate"	"Current.Threshold"
"6"	35.5750256883214	7.08995054937872	64.0601008272641	0.0104727057224964	"Transient-Slow"	"Current.Threshold"
"7"	4.62256477509089	-8.40766014506116	17.6527896952429	0.674914040647719	"Slow-Intermediate"	"Voltage.Threshold"
"8"	-6.75905431287337	-13.3767732814725	-0.141335344274258	0.0442033714940699	"Transient-Intermediate"	"Voltage.Threshold"
"9"	-11.3816190879643	-23.6574889181462	0.894250742217645	0.074886390600804	"Transient-Slow"	"Voltage.Threshold"
"10"	5.51477133990908	-2.27334756402595	13.3028902438441	0.214978216910108	"Slow-Intermediate"	"Vm"
"11"	-2.69351026286284	-6.6390989647302	1.25207843900453	0.239025271911513	"Transient-Intermediate"	"Vm"
"12"	-8.20828160277192	-15.5402477090748	-0.876315496469032	0.0244115020638067	"Transient-Slow"	"Vm"
"13"	-1.99928925909091	-16.3012620646657	12.3026835464839	0.940490553074854	"Slow-Intermediate"	"AP.Height"
"14"	-2.997341073126	-10.2429549385716	4.24827279231956	0.586731905703624	"Transient-Intermediate"	"AP.Height"
"15"	-0.998051814035094	-14.4623531629472	12.466249534877	0.982884568240772	"Transient-Slow"	"AP.Height"
"16"	-2.59230769230769	-18.6703166326244	13.485701248009	0.918643157947754	"Slow-Intermediate"	"AP.Latency"
"17"	-3.65302197802198	-8.85275637834283	1.54671242229888	0.213713480527556	"Transient-Intermediate"	"AP.Latency"
"18"	-1.06071428571428	-16.828107827662	14.7066792562334	0.985305636861842	"Transient-Slow"	"AP.Latency"
