"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.372888751853712,0.133763353924262,2.78767495666148,0.00999439981750293
"AP.Latency.threshold",-0.0215870583008208,0.00495180192796335,-4.35943493194193,0.000196012211665686
"Outward.inactivation.tau",0.000392709539753105,0.000399994401790592,0.981787590014071,0.335610994858343
