"","cell.ID","Pred.CDR"
"1","1",0.130244281984528
"2","2",0.00331892817876744
"3","3",0.0898673310279566
"4","4",0.0577449960241606
"5","5",0.0804155932444811
"6","6",0.184543966783894
"7","7",0.289040510697089
"8","8",0.0809695423198503
"9","9",1.2051266987831
"10","10",0.88787791867165
"11","11",0.265631819576772
"12","12",0.125751135120233
"13","13",-0.200761483517828
"14","14",0.376853952589779
"15","15",-0.111059377524821
"16","16",0.358625721643046
"17","17",0.066759002567344
"18","18",-0.0680786560656055
"19","19",-0.233124440165046
"20","20",-0.154499771367628
"21","21",0.242767033963693
"22","22",0.156685961628126
"23","23",0.412412157647116
"24","24",0.207509197117281
"25","25",0.180219401037863
"26","26",0.0377267025367209
"27","27",0.106571300555447
"28","28",0.137054023274983
"29","29",0.164603533002203
"30","30",0.0732252336498184
"31","31",-0.0853040839358228
"32","32",0.107565511821099
"33","33",0.633396249668345
"34","34",0.101675434552776
"35","35",-0.062560054811981
"36","36",0.148170514124735
"37","37",0.0520921173600729
"38","38",0.0806382428285138
"39","39",0.608602647527249
"40","40",0.0348561072074839
"41","41",0.244528030312093
"42","42",0.13257873948334
"43","43",0.072983410503179
"44","44",0.13257873948334
"45","45",0.174912715136924
"46","46",-0.200785287287298
"47","47",0.0810338754451154
"48","48",-0.0988256288761111
"49","49",0.13257873948334
"50","50",0.13257873948334
"51","51",-0.725342760380939
"52","52",0.293322764258802
"53","53",0.161930166871271
"54","54",0.13257873948334
"55","55",0.214259594433673
"56","56",0.137455731568902
"57","57",0.0781375869732025
"58","58",0.324497870210059
"59","59",-0.00754829819404257
"60","60",-0.123709664038382
"61","61",-0.0229398369220393
