"","cell.ID","Pred.CDR"
"1","1",-0.0523650361352003
"2","2",-0.0321634108955714
"3","3",-0.0275379918835336
"4","4",-0.0202585635485203
"5","5",-0.0318922616891522
"6","6",-0.0237244738873713
"7","7",0.0183475710421094
"8","8",0.0302120343745796
"9","9",0.604196623003079
"10","10",0.485548781028762
"11","11",0.0881053494179758
"12","12",0.0396502935873781
"13","13",-0.0716284736371709
"14","14",0.155762788497709
"15","15",0.0264353767461184
"16","16",0.103177381069625
"17","17",0.0394987925283524
"18","18",0.0407385728056104
"19","19",-0.0190086744097763
"20","20",0.0184048885692647
"21","21",0.0487062954617727
"22","22",0.268231458462901
"23","23",0.371469362290889
"24","24",-0.0256019893467721
"25","25",0.00783085760771339
"26","26",-0.0148439553062244
"27","27",0.0737698429197237
"28","28",0.194760994593594
"29","29",0.0784994677123115
"30","30",0.0537508208368886
"31","31",-0.0753538572739177
"32","32",-0.0120017032960481
"33","33",0.323894747804609
"34","34",-0.0125910386623062
"35","35",0.14387384668902
"36","36",0.263376605662497
"37","37",0.0373787197528477
"38","38",0.0815423883459092
"39","39",0.206917734225347
"40","40",0.0867014743755762
"41","41",0.181993181900445
"42","42",0.0400367916610022
"43","43",-0.0117383210457471
"44","44",0.0400367916610022
"45","45",0.0424332398394244
"46","46",0.02116566976961
"47","47",0.0371189321019988
"48","48",-0.0209568029409783
"49","49",0.0400367916610022
"50","50",0.0400367916610022
"51","51",0.0886544734823406
"52","52",0.0431529753894847
"53","53",0.0991485154669936
"54","54",0.0400367916610022
"55","55",-0.056028380424583
"56","56",-0.010222106973783
"57","57",-0.0556002788616169
"58","58",0.0509009792109257
"59","59",0.032104458847813
"60","60",0.0255287784567571
"61","61",-0.016594090590438
