"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.04576203558124,0.0810946411856615,-0.564304063895793,0.583870021307908
"Current.Threshold",0.00986796500798201,0.00161705175477521,6.10244228661301,7.71050730678303e-05
"gmax",-0.0182643656987954,0.00473441897995167,-3.85778398070335,0.00266347251532161
"Outward.inactivation.tau",0.00117694862402486,0.000448326790901175,2.62520252617314,0.0236084706670613
